page,resources_refereced,text_extracted
/homepage/,"{'page_urls': 60, 'png': 33, 'jpg': 17, 'svg': 10, 'jpeg': 6, 'webp': 3}",24
/supplier-memberships/,"{'page_urls': 14, 'jpg': 1, 'png': 1}",9
/resources/,"{'page_urls': 32, 'jpg': 1, 'png': 13}",17
/woven-lms-usage-franchisor-roi/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",19
/supplier-wire-038/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",19
/featured-supplier/woven/,"{'page_urls': 19, 'jpg': 1, 'png': 1, 'jpeg': 1}",33
/featured-supplier/salesdesk/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",28
/woven-promises/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",22
/2024/02/16/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/02/,"{'page_urls': 28, 'jpg': 1, 'png': 13}",17
/2024/,"{'page_urls': 31, 'jpg': 1, 'png': 13}",17
/wendys-csquared-advisors/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",16
/2024/page/6/,"{'page_urls': 27, 'jpg': 1, 'png': 9}",13
/featured-supplier/c-squared-advisors-llc/,"{'page_urls': 19, 'jpg': 1, 'png': 2}",34
/woven-planet-fitness-case-study/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",39
/private-equity-franchise/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",39
/2024/01/09/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/03/18/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/01/,"{'page_urls': 28, 'jpg': 1, 'png': 13}",17
/2024/03/,"{'page_urls': 28, 'jpg': 1, 'png': 13}",17
/snapchat-for-franchises/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",26
/the-good-feet-store-clayton-kendall/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",24
/featured-supplier/purple-penguin-digital/,"{'page_urls': 19, 'jpg': 2, 'png': 2, 'pdf': 1}",39
/featured-supplier/clayton-kendall/,"{'page_urls': 19, 'jpg': 2, 'png': 1}",35
/franchise-facebook-marketing/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",15
/clayton-kendall-hires-vp-of-sales/,"{'page_urls': 16, 'jpg': 2, 'png': 2}",23
/2023/12/12/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/02/12/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/12/,"{'page_urls': 26, 'jpg': 1, 'png': 12}",16
/supplier-wire-030/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/supplier-wire-029/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/featured-supplier/epic-managers/,"{'page_urls': 18, 'jpg': 1, 'png': 2}",35
/increase-ebitda-managers/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",13
/2023/11/09/,"{'page_urls': 26, 'jpg': 1, 'png': 11}",15
/targeted-google-maps-retail-traffic/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",21
/short-form-franchise-videos/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",20
/seosambas-centralized-blogging-tool-gets-a-boost-with-ai-integration/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/increase-fran-dev-results/,"{'page_urls': 16, 'jpg': 1, 'png': 2, 'pdf': 1}",19
/featured-supplier/seosamba/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",36
/franchise-marketing-operating-system/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/2023/11/28/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-printing-solution/,"{'page_urls': 16, 'jpg': 1, 'png': 3}",17
/fisherzucker-joint-employer-update-nlrbeef-with-franchising/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",34
/featured-supplier/image-cube/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",32
/image-cube-100-chiropractic/,"{'page_urls': 16, 'jpg': 1, 'png': 3}",23
/2023/11/21/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/exceptional-franchise-leaders/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",19
/ar-automation-service-franchise-brands/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",21
/featured-supplier/biller-genie/,"{'page_urls': 15, 'jpg': 1, 'png': 1, 'webp': 1}",29
/2023/11/,"{'page_urls': 28, 'jpg': 1, 'png': 13}",17
/supplier-wire-027/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/serviceminder-entrepreneur/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/featured-supplier/hughes/,"{'page_urls': 15, 'jpg': 1, 'png': 3}",39
/2023/11/16/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/11/30/,"{'page_urls': 18, 'jpg': 1, 'png': 3}",7
/one-click-contractor/,"{'page_urls': 16, 'jpg': 1, 'png': 2, 'pdf': 1}",17
/home-service-leads/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",26
/2023/11/17/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/11/27/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchising-faqs/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",13
/franchise-supplier-wire-026/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/2023/11/14/,"{'page_urls': 18, 'jpg': 1, 'png': 3}",7
/featured-supplier/dynaxe-workforce/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",27
/franchise-good-news/,"{'page_urls': 16, 'jpg': 2, 'png': 2}",17
/c-squared-advisors-services/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",13
/2023/11/20/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/ai-in-reputation-management/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",17
/2023/11/page/2/,"{'page_urls': 26, 'jpg': 1, 'png': 11}",15
/2023/11/15/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/john-francis-presented-office-pride-systems-highest-honor/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",16
/featured-supplier/johnny-franchise/,"{'page_urls': 18, 'jpg': 2, 'png': 1}",38
/2023/11/06/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-supplier-wire-015/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",19
/3-tips-for-growing-your-franchise/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",17
/2023/07/11/,"{'page_urls': 25, 'jpg': 1, 'png': 10}",14
/2023/08/11/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-supplier-wire-021/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",20
/2023/08/,"{'page_urls': 20, 'jpg': 1, 'png': 6}",10
/top-franchise-brands-find-success-with-fsn/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",14
/the-value-of-the-fsn-supplier-membership/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",15
/2023/08/29/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/08/23/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/springboard-conference-2023-sessions-to-watch/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",22
/franchise-supplier-wire-024/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",17
/2023/08/30/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/08/22/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-supplier-wire-020/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",17
/franchise-supplier-wire-019/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",20
/franchise-supplier-wire-018/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",19
/franchise-supplier-wire-017/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",19
/franchise-supplier-wire-016/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",14
/franchise-supplier-wire-014/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",20
/franchise-supplier-wire-013/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",23
/2023/07/,"{'page_urls': 28, 'jpg': 1, 'png': 13}",17
/featured-supplier/rocketbarn/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",27
/latest-franchising-news/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",13
/2023/07/31/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-supplier-wire-023/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",17
/franchise-supplier-wire-022/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",19
/2023/07/25/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/07/18/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/07/page/2/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-supplier-wire-012/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",20
/2023/07/05/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/12/13/,"{'page_urls': 18, 'jpg': 1, 'png': 3}",7
/supplier-wire-028/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/serviceminder-franchisee-automation/,"{'page_urls': 16, 'jpg': 1, 'png': 2, 'mp4': 1}",15
/featured-supplier/morrow-hill/,"{'page_urls': 17, 'jpg': 2, 'png': 1}",30
/2023/12/04/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/truterritory-morrow-hill/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",22
/2024/03/01/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/12/05/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/mastering-multi-unit-franchise-success/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",15
/image-cube-franchises/,"{'page_urls': 16, 'jpg': 1, 'png': 3}",25
/2023/12/20/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/12/19/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-employee-recruitment/,"{'page_urls': 18, 'jpg': 1, 'png': 2}",14
/epic-managers-pure-glow/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",14
/2023/12/15/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/12/07/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/digital-franchise-marketing/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",28
/featured-supplier/devhub/,"{'page_urls': 19, 'jpg': 1, 'png': 2, 'pdf': 1}",38
/2023/12/18/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/,"{'page_urls': 31, 'jpg': 1, 'png': 13}",17
/2023/page/9/,"{'page_urls': 23, 'jpg': 1, 'png': 5}",9
/2023/page/5/,"{'page_urls': 32, 'jpg': 1, 'png': 13}",17
/reach-gen-z-consumers/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",12
/rallio-case-study/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",16
/2023/01/07/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/01/02/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/01/,"{'page_urls': 28, 'jpg': 1, 'png': 13}",17
/supplier-wire-005/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",17
/supplier-wire-004/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",16
/featured-supplier/booxkeeping/,"{'page_urls': 15, 'jpg': 1, 'png': 1, 'pdf': 2, 'webp': 1}",37
/2023/01/25/,"{'page_urls': 21, 'jpg': 1, 'png': 6}",10
/2023/01/27/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/supplier-wire-003/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/supplier-wire-002/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",16
/supplier-wire-001/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/marketing-supplier-discovery-day-takeaways/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",13
/2023/01/23/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/home-service-brands/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",19
/fsn-process/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",13
/2023/01/30/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/download-your-2023-franchise-conference-calendar/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",16
/2023/01/page/2/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/01/19/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023-franchise-conference-calendar/,"{'page_urls': 14, 'jpg': 1, 'png': 1}",16
/our-6-benefits-for-franchise-brands/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",30
/franchise-supplier-solutions/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",25
/2023/01/10/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/01/03/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/page/8/,"{'page_urls': 31, 'jpg': 1, 'png': 13}",17
/2023/page/7/,"{'page_urls': 31, 'jpg': 1, 'png': 13}",17
/franchise-supplier-wire-006/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",16
/woven-launches-a-new-software-system-for-engagement-development/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",16
/2023/02/05/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/02/28/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/02/,"{'page_urls': 20, 'jpg': 1, 'png': 6}",10
/supercharge-your-growth-brand-awareness/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",15
/seamless-health-employee-benefits/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/2023/03/27/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/04/03/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/03/,"{'page_urls': 19, 'jpg': 1, 'png': 5}",9
/2023/04/,"{'page_urls': 23, 'jpg': 1, 'png': 9}",13
/franchise-supplier-wire-010/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/ai-franchise-industry/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",23
/2023/04/24/,"{'page_urls': 21, 'jpg': 1, 'png': 6}",10
/orchatect-on-franchise-technology-evolution/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",23
/fsn-suppliers-at-franchise-young-conference/,"{'page_urls': 19, 'jpg': 1, 'png': 2}",39
/2023/02/20/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/featured-supplier/franchisefilming/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",28
/2023/04/13/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/fsn-supplier-member-benefits/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",27
/franchise-supplier-wire-009/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",16
/2023/03/16/,"{'page_urls': 18, 'jpg': 1, 'png': 3}",7
/franchise-supplier-wire-008/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/franchise-supplier-wire-007/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/franchise-development-technology/,"{'page_urls': 18, 'jpg': 1, 'png': 2}",22
/3-power-women-in-franchising/,"{'page_urls': 18, 'jpg': 1, 'png': 2}",12
/2023/03/20/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/3-easy-steps-for-franchise-success/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",11
/2023/04/20/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-development-technology-from-top-suppliers/,"{'page_urls': 19, 'jpg': 1, 'png': 2}",29
/10-ways-to-prepare-for-ifa-convention/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",15
/2023/02/16/,"{'page_urls': 18, 'jpg': 1, 'png': 3}",7
/2023/page/6/,"{'page_urls': 32, 'jpg': 1, 'png': 13}",17
/suttle-straus-case-study/,"{'page_urls': 16, 'jpg': 1, 'png': 2, 'pdf': 1}",21
/intent-data-marketing-for-franchise-systems/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",17
/2023/06/23/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/05/08/,"{'page_urls': 18, 'jpg': 1, 'png': 3}",7
/2023/06/,"{'page_urls': 20, 'jpg': 1, 'png': 6}",10
/2023/05/,"{'page_urls': 18, 'jpg': 1, 'png': 4}",8
/frannet-franchise-success-stories/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",23
/franchisors-risk-management/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",14
/2023/05/03/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/06/20/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-supplier-network-testimonials/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",27
/franchise-employee-operations-supplier-discover-day-takeaways/,"{'page_urls': 24, 'jpg': 1, 'png': 2}",30
/featured-supplier/frantable/,"{'page_urls': 14, 'jpg': 1, 'png': 1, 'svg': 1}",25
/2023/06/29/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/ai-for-franchise-brands/,"{'page_urls': 18, 'jpg': 1, 'png': 2}",23
/4-tips-to-close-frandev-deals-faster/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",21
/2023/06/06/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/06/02/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/page/4/,"{'page_urls': 32, 'jpg': 1, 'png': 13}",17
/2023/page/3/,"{'page_urls': 31, 'jpg': 1, 'png': 13}",17
/using-ai-as-a-force-multiplier-in-your-business/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",20
/generative-a-i-for-your-customer-reviews/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",38
/2023/10/10/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/featured-supplier/dbseer/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",39
/2023/10/,"{'page_urls': 23, 'jpg': 1, 'png': 9}",13
/automated-customer-loyalty/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",43
/2024/02/05/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/10/30/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franfund-voted-1-financing-franchise-supplier-by-entrepreneur-magazine/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/2024-local-marketing-strategy/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",13
/2023/10/24/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/10/31/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/using-a-i-in-organic-marketing-with-rallio/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/lease-negotiation-checklist-ensuring-favorable-lease-terms-to-save-you-money/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",25
/2023/10/18/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/10/09/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/how-fsn-supplier-members-are-driving-franchise-success/,"{'page_urls': 25, 'jpg': 1, 'png': 2}",31
/fsn-members-rank-on-entrepreneurs-2023-top-franchise-suppliers-list/,"{'page_urls': 33, 'jpg': 1, 'png': 2}",45
/fsn-supplier-awards/,"{'page_urls': 14, 'jpg': 1, 'png': 1}",5
/featured-supplier/topfire-media/,"{'page_urls': 14, 'jpg': 1, 'png': 2, 'pdf': 1}",26
/featured-supplier/citrin-cooperman/,"{'page_urls': 14, 'jpg': 2, 'png': 1, 'pdf': 1}",27
/featured-supplier/careerplug/,"{'page_urls': 14, 'jpg': 1, 'png': 2}",25
/2023/10/06/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/featured-supplier/benetrends/,"{'page_urls': 14, 'jpg': 1, 'png': 2}",30
/2023/10/19/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/franchise-supplier-wire-025-how-to-rebrand-a-40-year-old-startup/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",17
/franchise-industry-news-updates/,"{'page_urls': 15, 'jpg': 1, 'png': 2}",13
/2023/09/18/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/09/20/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/09/,"{'page_urls': 18, 'jpg': 1, 'png': 4}",8
/a-i-in-paid-marketing-with-eulerity/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",18
/2023/09/06/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2023/page/2/,"{'page_urls': 31, 'jpg': 1, 'png': 13}",17
/clayton-kendall-adds-cfo/,"{'page_urls': 16, 'jpg': 2, 'png': 2}",21
/2024/03/04/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/account-managers-digital-agencies/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",31
/2024/03/28/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/01/24/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/serviceminder-partnerships-2024/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",15
/purple-penguin-digital-client-testimonials/,"{'page_urls': 16, 'jpg': 1, 'png': 2}",16
/2024/03/05/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/2024/03/19/,"{'page_urls': 17, 'jpg': 1, 'png': 2}",6
/personal-services-franchise-outlook/,"{'page_urls': 16, 'jpg': 1, 'png': 2, 'pdf': 1}",32
/marketing-technology-franchisee-growth/,"{'page_urls': 16, 'jpg': 2, 'png': 2}",21
